Interface,Com,Type,Control Name,Command,"Initial
Freq_Initial","Status_On
Freq_Min","Remark_On
Freq_Max","Status_Off
Freq_Step","Remark_Off
Duty_Initial",Duty_Min,Duty_Max,Duty_Step,Remark
V3_GPIO,ComA,IconOnOff,IGN,io o 1,1,1,Power on,0,Power off,,,,
V3_GPIO,ComA,IconOnOff,Right turn signal,io o 2,0,1,Right turn signal active (High); LED color = Green,0,Right turn signal off,,,,
V3_GPIO,ComA,IconOnOff,Left turn signal,io o 3,0,1,Left turn signal active (High); LED color = Green,0,Left turn signal off,,,,
V3_GPIO,ComA,IconOnOff,High Beam,io o 4,0,1,High Beam active (High); LED color = Blue,0,High Beam off,,,,
V3_GPIO,ComA,Key,Function key,io o 10,0,1,Push the button,0,Lease the button,,,,
V3_GPIO,ComA,IconR,Mode Switch,io o 11 ,0,1,ECO,0,Sport,,,,
V3_GPIO,ComA,IconOnOff,Key icon,io o 12 ,0,1,Display key icon on Dashboard,0,Key icon won't display on Dashboard,,,,
V3_GPIO,ComA,IconOnOff,Oil pressure lamp,io o 16,1,0,Oil pressure lamp active (Low); LED color = Red,1,Oil pressure lamp off,,,,
V3_GPIO,ComA,IconOnOff,Fault light,io o 17,1,0,Fault light active (Low); LED color = Yellow,1,Fault light off,,,,
V3_GPIO,ComA,IconOnOff,ABS light,io o 18,0,1,ABS active (High); LED color = Yellow,0,ABS light off,,,,
V3_GPIO,ComA,IconOnOff,ASR light,io o 19,1,0,ASR active (Low); LED color = Yellow,1,ASR light off,,,,
V3_GPIO,ComA,IconOnOff,Anti-theft light,io o 20,1,0,Anti-theft light (High); LED color = Red,1,Anti-theftlight off,,,,
V3_PWM,ComA,twoBar,Tachometer,pwm o 1,0,0,500,1,50,0,100,1,Tachometer
V3_PWM,ComA,twoBar,Speedometer,pwm o 2,100,0,100,1,0,0,100,1,Speedometer
V3_PWM,ComA,twoBar,Front Tyre Pressure Notification,pwm o 3,0,0,25,1,0,0,100,1,Front Tyre Pressure Notification
V3_PWM,ComA,twoBar,Rear Tyre Pressure Notification,pwm o 4,0,0,25,1,0,0,100,1,Rear Tyre Pressure Notification
AutoKit_RS232,ComC,twoBar,Tachometer,S1,0,0,500,1,50,0,100,1,Tachometer
AutoKit_RS232,ComC,twoBar,Speedometer,S2,100,0,100,1,0,0,100,1,Speedometer
AutoKit_RS232,ComD,twoBar,Front Tyre Pressure Notification,S1,0,0,25,1,0,0,100,1,Front Tyre Pressure Notification
AutoKit_RS232,ComD,twoBar,Rear Tyre Pressure Notification,S2,0,0,25,1,0,0,100,1,Rear Tyre Pressure Notification
AutoKit_GPIO,ComB,Icon10,IGN,i o 2,1,1,Power on,0,Power off,,,,
AutoKit_GPIO,ComB,Icon10,Key icon,i o 3,1,1,Left turn signal active (High); LED color = Green,0,Left turn signal off,,,,
DSS_GPIO,ComB,oneBar,Water Temp,Water Temp,0,0,8,1,,,,,Water Temp
DSS_GPIO,ComB,oneBar,Fuel Display,Fuel Display,0,0,8,1,,,,,Fuel Display
DSS_GPIO,ComB,oneBar,Temp,Temp,-20,-20,50,5,,,,,Temp
AutoKit_RS232,ComB,oneBar,GPP4323 (0.1V),VSET1:,65,50,200,1,,,,,GPP4323 (0.1V)
AutoKit_RS232,ComB,oneBar,GPP4323 (0.1A),ISET1:,10,0,50,1,,,,,GPP4323 (0.1A)
DSS_GPIO,ComB,oneBar,Ohm,Ohm,0,0,255,1,,,,,Ohm
